bukrs	butxt	swerk	name1	stort	ktext	wapinr	stat_sys	stat_cus	priokx	tplnr	pltxt	tsdate	tstime	tfdate	tftime	txt_short	txt_long
7500 	Ф-л Читаэнерго           	7550	Юго-Восточные э/с             	7550020200	Калганский РЭС                          	100000550671	ПОДГ ЗАКР                               	РАСС                                    	Плановая            	VS010-0010687                 	ВЛ 10 кВ ф.235 Зерен на обслуживании    	20170927	090000	22170928	170000	Выправка опор                           	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020800	Омский РЭС                              	100000937783	ПОДГ ОТКЛ                               	РАЗР                                    	Плановая            	TP006-0002559-15-01-01-10     	Выключатель В-6                         	20200508	090000	22020508	170000	Плановая проверка  РЗА в объеме "К"     	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020800	Омский РЭС                              	100000532733	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS035-000796-13-11-310        	Выключатель СВ-35                       	20170904	100000	22170904	170000	Проверка РЗА                            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020800	Омский РЭС                              	100000532763	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS035-000796-13-01-401        	Присоединение ТН-35 №1                  	20170904	100000	22170904	170000	Проверка РЗА                            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020800	Омский РЭС                              	100000532785	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS035-000796-13-02-401        	Присоединение ТН-35 №2                  	20170904	100000	22170904	170000	Проверка РЗА                            	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032480	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS110-000618-01               	Силовой трансформатор 1Т                	20140505	080000	21040508	170000	Отбор проб масла из бака                	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032481	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS110-000618-02               	Силовой трансформатор 2Т                	20140505	080000	21040508	170000	Отбор проб масла из бака                	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032482	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS110-000630-02               	Силовой трансформатор 2Т                	20140507	080000	21040507	170000	Опробование от действия газовой защиты  	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032483	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS035-000744-01               	Силовой трансформатор 1Т                	20140505	080000	21040508	170000	Чистка маслоприёмника 1Т                	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020100	Городской РЭС                           	100000032484	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	PS035-000744-02               	Силовой трансформатор 2Т                	20140505	080000	21040508	170000	Чистка маслоприёмника 2Т.               	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
